%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position.translation.x,field.position.translation.y,field.position.translation.z,field.position.rotation.x,field.position.rotation.y,field.position.rotation.z,field.position.rotation.w,field.velocity.linear.x,field.velocity.linear.y,field.velocity.linear.z,field.velocity.angular.x,field.velocity.angular.y,field.velocity.angular.z,field.combined_linear_velocity,field.acceleration.linear.x,field.acceleration.linear.y,field.acceleration.linear.z,field.acceleration.angular.x,field.acceleration.angular.y,field.acceleration.angular.z
1575393335655933055,48,1575393338870210001,,0.445554999988,-2.207,0.525,0.5968760459,0.802333462988,-1.46135227264e-12,1.96438072474e-12,-0.0431933390941,0.0903306397131,-8.47090910155e-05,1.02016819082e-15,2.08166817117e-16,2.04697370165e-16,0.100126401057,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655948893,49,1575393338912180411,,0.443822999988,-2.203177,0.525,0.5968760459,0.802333462988,-1.46136956075e-12,1.96438072238e-12,-0.0411307531227,0.0910242100853,6.73639946677e-05,-5.9660689461e-16,-1.19143995337e-16,5.55111512313e-16,0.0998856857212,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655953126,50,1575393339005436705,,0.439999999989,-2.194671,0.525,0.5968760459,0.802333462988,-1.4613695416e-12,1.96438504139e-12,-0.0411555170732,0.0912288868552,-4.72605640572e-05,3.46944695195e-16,6.99449402668e-17,-1.38777878078e-17,0.100082409124,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655955812,51,1575393339063383202,,0.437605999989,-2.189394,0.525,0.5968760459,0.802333462988,-1.46137278736e-12,1.96441947793e-12,-0.0411381501735,0.0912232937537,-4.16344701364e-05,3.0114799543e-15,6.04242203033e-16,-2.39391839685e-16,0.100070167664,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655960145,52,1575393339089626032,,0.436530999989,-2.187,0.525,0.5968760459,0.802333462988,-1.46135222721e-12,1.96437206408e-12,-0.0389759888854,0.0918261104332,0.000134247973166,1.6448958519e-15,3.29597460436e-16,1.11022302463e-16,0.0997556027971,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655979796,53,1575393339216879466,,0.431821999989,-2.175178,0.525,0.5968760459,0.802333462988,-1.46133160615e-12,1.96434194701e-12,-0.0368828200003,0.0930486634774,-5.30319689074e-05,-1.04060807178e-15,-2.06884121248e-16,-1.26634813746e-16,0.100091952716,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655983319,54,1575393339304814389,,0.428589999989,-2.167,0.525,0.5968760459,0.802333462988,-1.46140574485e-12,1.96440440574e-12,-0.0367951051947,0.092736466047,0.000149604846043,-6.03740635192e-16,-1.20065870059e-16,-2.02962646689e-16,0.099769505776,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655987085,55,1575393339508088723,,0.421101999989,-2.148102,0.525,0.5968760459,0.802333462988,-1.46140912408e-12,1.96443665931e-12,-0.0368895503725,0.0933697366431,-0.00025118477508,-6.9388939039e-18,-2.08188510053e-18,-1.71911096469e-15,0.100393275379,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655989853,56,1575393339519947256,,0.420663999989,-2.147,0.525,0.5968760459,0.802333462988,-1.46144372072e-12,1.96444098247e-12,-0.0390403528467,0.0920276396777,5.15751117873e-06,3.37911055182e-15,6.63545231984e-16,-8.93382590128e-16,0.0999661724867,0.0,0.0,0.0,0.0,0.0,0.0
1575393335656006352,57,1575393339536086454,,0.419999999989,-2.145529,0.525,0.5968760459,0.802333462988,-1.46137114437e-12,1.96440222989e-12,-0.0412033123291,0.0907373200765,0.000237368351089,3.08086889333e-15,6.04267872834e-16,8.9685203708e-16,0.0996545560689,0.0,0.0,0.0,0.0,0.0,0.0
1575393335656009514,58,1575393339739457673,,0.411616999989,-2.127,0.525,0.5968760459,0.802333462988,-1.46139016775e-12,1.96442158659e-12,-0.0432896450118,0.090167493903,-2.35611878534e-05,-5.48253874398e-16,-1.0451803621e-16,-3.46944695195e-18,0.100020852212,0.0,0.0,0.0,0.0,0.0,0.0
