%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.acceleration0,field.acceleration1,field.acceleration2,field.acceleration3,field.acceleration4,field.acceleration5,field.jerk0,field.jerk1,field.jerk2,field.jerk3,field.jerk4,field.jerk5
1575393335626949352,38,1575393338174364956,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.36218020513,-0.785662307165,1.0292281647,2.61345809285e-17,1.32723046926,0.0829764894485,0.016734556654,-0.0884847966287,0.150935032851,-1.66193971149e-18,-0.0624502362221,0.016734556654,0.00364222364143,0.0119382127887,-0.0247709806665,-4.87295658812e-19,0.0128327678773,0.0036422236419,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626954301,39,1575393338177244557,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.36222877082,-0.78591587281,1.0296602343,2.61297447858e-17,1.32705196531,0.0830250551461,0.0168379081598,-0.088071577382,0.150066448898,-1.67596366806e-18,-0.0619948715159,0.0168379081598,-0.0225073185558,-0.0128740115881,0.0175673337526,2.85057210307e-18,-0.00469332214875,-0.022507318578,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626959752,40,1575393338179255776,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.36226258019,-0.786093035657,1.02996209392,2.61263810665e-17,1.32692726853,0.0830588645108,0.0159984666023,-0.0884989556428,0.150627169561,-1.56963672006e-18,-0.062128213918,0.0159984666023,-0.0224166357772,-0.0113650360281,0.0148880961367,2.83938857115e-18,-0.0035230601086,-0.0224166357769,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626965354,41,1575393338322122987,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.36443223951,-0.798795444146,1.05155881751,2.59168241289e-17,1.31803295343,0.0852285238302,0.0151351020185,-0.0884697645322,0.150153486482,-1.46149600581e-18,-0.0616837219502,0.0151351020185,-0.000869756903315,0.00745319411799,-0.0171257619814,8.95944741539e-20,0.0096725678634,-0.000869756903315,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626972116,42,1575393338415840654,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.36584584485,-0.807045310632,1.06553592299,2.578035276e-17,1.31230571444,0.0866421291702,0.0142769979982,-0.0883411710339,0.149505091308,-1.35410437354e-18,-0.0611639202741,0.0142769979982,-0.02215608919,-0.00857596874451,0.0100123013563,2.80411359358e-18,-0.00143633261177,-0.02215608919,0.0,0.0,0.0,0.0,0.0,0.0
1575393335627043223,43,1575393338467755401,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.36654515398,-0.811647729802,1.07331636647,2.57153548776e-17,1.30912769013,0.0873414383034,0.0134234916884,-0.088404976797,0.149286857758,-1.24671630677e-18,-0.0608818809608,0.0134234916884,-0.00130520691933,0.00692177171376,-0.0162370285382,1.47547174494e-19,0.00931525682437,-0.00130520691936,0.0,0.0,0.0,0.0,0.0,0.0
1575393335627049670,44,1575393338559404472,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.36777111121,-0.819727195503,1.08694495864,2.5601579824e-17,1.30357856365,0.0885673955332,0.0135245365412,-0.0877784216036,0.147901003729,-1.2610683347e-18,-0.0601225821256,0.0135245365412,0.00403239451179,0.0103100565819,-0.0218972385223,-5.35715981142e-19,0.0115871819404,0.00403239451181,0.0,0.0,0.0,0.0,0.0,0.0
1575393335627055568,45,1575393338614457292,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.36852381685,-0.824538828242,1.09504311354,2.55310727981e-17,1.3002920415,0.0893201011704,0.0135759687118,-0.0873074858367,0.146844511785,-1.26889383295e-18,-0.0595370259479,0.0135759687118,-0.00446394266704,0.00429510697826,-0.0117270419945,5.47113314054e-19,0.00743193501636,-0.00446394266704,0.0,0.0,0.0,0.0,0.0,0.0
1575393335627057856,46,1575393338645837307,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.36894680409,-0.827275626034,1.09964314472,2.54916258703e-17,1.29842880811,0.089743088416,0.0126479140348,-0.0874627322205,0.146838593222,-1.15164680522e-18,-0.0593758610017,0.0126479140348,-0.0224376354191,-0.0066928931351,0.00667740193591,2.84450952566e-18,1.54911991151e-05,-0.0224376354191,0.0,0.0,0.0,0.0,0.0,0.0
1575393335627066372,47,1575393338762707651,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.37032778115,-0.837526416017,1.1168331449,2.53693535551e-17,1.29148959791,0.0911240654672,0.0117843383676,-0.08733132311,0.146193839695,-1.04319750443e-18,-0.0588625165849,0.0117843383676,-0.000570101360516,0.00676490627854,-0.0159063087062,5.39176428171e-20,0.00914140242772,-0.000570101360518,0.0,0.0,0.0,0.0,0.0,0.0
1575393335627073486,48,1575393338870210001,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.37159118742,-0.846873945112,1.13245340886,2.5257532503e-17,1.28521686305,0.0923874717418,0.0108653442403,-0.0871479278704,0.145456880576,-9.27650810323e-19,-0.0583089527055,0.0108653442403,-0.0237371767971,-0.00524697134894,0.00415530470295,3.01117828812e-18,0.00109166664597,-0.0237371767971,0.0,0.0,0.0,0.0,0.0,0.0
1575393335627081308,49,1575393338912180411,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.37200998197,-0.85053980849,1.13856481075,2.52233212246e-17,1.28277132453,0.0928062662953,0.00994258799107,-0.0871316436647,0.14510158078,-8.11055094283e-19,-0.0579699371155,0.00994258799107,-0.00105721474651,0.00628142285232,-0.0151028160655,1.20491988434e-19,0.00882139321319,-0.00105721474652,0.0,0.0,0.0,0.0,0.0,0.0
1575393335627085849,50,1575393339005436705,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.37293385782,-0.858645579379,1.1520488321,2.51480651051e-17,1.27739307407,0.0937301421456,0.0100160276877,-0.086621353737,0.143921011488,-8.21535916203e-19,-0.0572996577507,0.0100160276877,0.00288832268306,0.00788175658982,-0.0177243627374,-3.85026106924e-19,0.00984260614761,0.00288832268305,0.0,0.0,0.0,0.0,0.0,0.0
